ST04Q01,IC10Q05,Australia,Austria,Belgium,Chile,China-Shanghai,Chinese Taipei,Costa Rica,Croatia,Czech Republic,Denmark,Estonia,Finland,Germany,Greece,Hong Kong-China,Hungary,Iceland,Ireland,Israel,Italy,Japan,Jordan,Korea,Latvia,Liechtenstein,Macao-China,Mexico,Netherlands,New Zealand,Norway,Perm(Russian Federation),Poland,Portugal,Russian Federation,Serbia,Singapore,Slovak Republic,Slovenia,Spain,Sweden,Switzerland,Turkey,Uruguay
Female,Almost every day,104.0,37.0,60.0,50.0,7.0,10.0,35.0,24.0,37.0,279.0,13.0,41.0,9.0,89.0,3.0,41.0,8.0,7.0,42.0,194.0,4.0,152.0,2.0,31.0,1.0,32.0,483.0,60.0,32.0,194.0,15.0,14.0,44.0,46.0,20.0,36.0,66.0,55.0,427.0,46.0,62.0,20.0,83.0
Female,Every day,60.0,14.0,25.0,34.0,9.0,7.0,23.0,20.0,23.0,113.0,3.0,21.0,9.0,59.0,3.0,19.0,4.0,9.0,46.0,145.0,3.0,146.0,,11.0,1.0,18.0,267.0,31.0,20.0,56.0,16.0,7.0,16.0,45.0,21.0,12.0,32.0,35.0,186.0,34.0,44.0,30.0,36.0
Female,Never or hardly ever,5491.0,1890.0,2753.0,2831.0,2470.0,2779.0,1894.0,2165.0,2214.0,1815.0,2172.0,3438.0,1895.0,1811.0,1939.0,1821.0,1446.0,2384.0,1642.0,12080.0,2715.0,2018.0,2216.0,1885.0,116.0,1319.0,12896.0,1627.0,1742.0,395.0,651.0,2178.0,2357.0,1963.0,2020.0,2053.0,1401.0,1948.0,8408.0,1816.0,4361.0,2022.0,1836.0
Female,Once or twice a month,674.0,183.0,590.0,318.0,92.0,171.0,126.0,151.0,191.0,571.0,122.0,487.0,100.0,349.0,99.0,313.0,48.0,77.0,216.0,1143.0,83.0,688.0,81.0,174.0,10.0,540.0,1734.0,196.0,166.0,757.0,116.0,114.0,227.0,337.0,114.0,454.0,397.0,340.0,1553.0,162.0,603.0,135.0,217.0
Female,Once or twice a week,403.0,143.0,495.0,161.0,50.0,110.0,94.0,81.0,97.0,480.0,47.0,240.0,37.0,178.0,28.0,209.0,24.0,25.0,104.0,566.0,80.0,394.0,34.0,60.0,7.0,659.0,1161.0,156.0,83.0,745.0,44.0,33.0,133.0,153.0,74.0,160.0,256.0,233.0,1299.0,113.0,291.0,78.0,143.0
Male,Almost every day,230.0,66.0,104.0,83.0,18.0,28.0,54.0,57.0,73.0,297.0,34.0,93.0,27.0,143.0,14.0,55.0,12.0,23.0,71.0,486.0,9.0,260.0,13.0,64.0,3.0,69.0,602.0,63.0,51.0,220.0,32.0,54.0,117.0,102.0,60.0,52.0,92.0,181.0,608.0,76.0,133.0,77.0,74.0
Male,Every day,111.0,36.0,78.0,50.0,12.0,24.0,37.0,61.0,67.0,131.0,10.0,52.0,20.0,167.0,14.0,39.0,27.0,19.0,69.0,423.0,13.0,353.0,9.0,30.0,3.0,41.0,383.0,39.0,32.0,95.0,28.0,47.0,69.0,98.0,64.0,25.0,88.0,124.0,351.0,67.0,105.0,78.0,96.0
Male,Never or hardly ever,5106.0,1711.0,2375.0,2506.0,2320.0,2533.0,1496.0,1942.0,1936.0,1615.0,1926.0,2950.0,1744.0,1476.0,2093.0,1496.0,1387.0,2173.0,1369.0,10682.0,2908.0,1398.0,2457.0,1606.0,115.0,1256.0,10834.0,1502.0,1630.0,449.0,653.0,1749.0,1964.0,1793.0,1737.0,2020.0,1413.0,1668.0,7773.0,1489.0,4017.0,1754.0,1385.0
Male,Once or twice a month,840.0,257.0,651.0,360.0,113.0,188.0,176.0,247.0,259.0,496.0,208.0,644.0,132.0,341.0,164.0,321.0,95.0,106.0,241.0,1560.0,90.0,542.0,129.0,226.0,17.0,571.0,2022.0,301.0,183.0,660.0,101.0,168.0,319.0,312.0,182.0,442.0,411.0,547.0,1605.0,271.0,719.0,278.0,246.0
Male,Once or twice a week,659.0,208.0,577.0,202.0,56.0,123.0,104.0,154.0,150.0,557.0,101.0,414.0,74.0,301.0,54.0,239.0,35.0,46.0,139.0,1166.0,94.0,417.0,65.0,143.0,14.0,734.0,1305.0,250.0,112.0,798.0,62.0,117.0,263.0,203.0,133.0,202.0,317.0,477.0,1370.0,174.0,415.0,196.0,212.0
