ST04Q01,IC09Q05,Australia,Austria,Belgium,Chile,China-Shanghai,Chinese Taipei,Costa Rica,Croatia,Czech Republic,Denmark,Estonia,Finland,Germany,Greece,Hong Kong-China,Hungary,Iceland,Ireland,Israel,Italy,Japan,Jordan,Korea,Latvia,Liechtenstein,Macao-China,Mexico,Netherlands,New Zealand,Norway,Perm(Russian Federation),Poland,Portugal,Russian Federation,Serbia,Singapore,Slovak Republic,Slovenia,Spain,Sweden,Switzerland,Turkey,Uruguay
Female,Almost every day,336.0,277.0,232.0,174.0,38.0,52.0,104.0,195.0,557.0,747.0,559.0,190.0,131.0,125.0,53.0,186.0,61.0,27.0,275.0,1001.0,24.0,196.0,70.0,323.0,4.0,69.0,994.0,623.0,145.0,152.0,95.0,181.0,221.0,251.0,92.0,142.0,311.0,504.0,730.0,89.0,150.0,138.0,167.0
Female,Every day,123.0,125.0,96.0,97.0,15.0,28.0,56.0,123.0,466.0,452.0,784.0,61.0,66.0,87.0,18.0,86.0,13.0,17.0,329.0,520.0,16.0,180.0,21.0,228.0,1.0,27.0,503.0,547.0,65.0,78.0,58.0,96.0,70.0,168.0,80.0,65.0,260.0,331.0,353.0,54.0,69.0,77.0,118.0
Female,Never or hardly ever,4396.0,1125.0,2358.0,2261.0,1885.0,1712.0,1642.0,937.0,713.0,726.0,403.0,2567.0,1313.0,1699.0,1304.0,1074.0,995.0,1871.0,901.0,7315.0,2396.0,2321.0,1212.0,914.0,101.0,1597.0,10539.0,246.0,1017.0,937.0,354.0,1329.0,1095.0,1159.0,1506.0,1371.0,875.0,583.0,6589.0,1549.0,3744.0,1200.0,1440.0
Female,Once or twice a month,1216.0,356.0,688.0,548.0,462.0,880.0,223.0,721.0,402.0,564.0,249.0,865.0,318.0,363.0,495.0,677.0,280.0,466.0,306.0,3458.0,371.0,422.0,799.0,383.0,23.0,568.0,2639.0,229.0,475.0,527.0,187.0,436.0,800.0,605.0,367.0,748.0,370.0,598.0,2630.0,312.0,941.0,509.0,316.0
Female,Once or twice a week,685.0,393.0,548.0,331.0,220.0,399.0,154.0,463.0,431.0,782.0,361.0,564.0,217.0,221.0,197.0,388.0,188.0,123.0,252.0,1881.0,90.0,284.0,231.0,311.0,7.0,300.0,1872.0,417.0,342.0,469.0,147.0,310.0,586.0,371.0,215.0,389.0,340.0,596.0,1627.0,188.0,462.0,351.0,283.0
Male,Almost every day,351.0,234.0,224.0,151.0,50.0,51.0,91.0,226.0,406.0,690.0,549.0,171.0,124.0,180.0,79.0,161.0,80.0,50.0,238.0,1096.0,37.0,296.0,70.0,300.0,6.0,76.0,1152.0,632.0,128.0,173.0,94.0,187.0,278.0,251.0,147.0,136.0,286.0,491.0,818.0,117.0,242.0,236.0,186.0
Male,Every day,198.0,119.0,171.0,104.0,43.0,48.0,78.0,203.0,402.0,437.0,650.0,80.0,70.0,235.0,45.0,128.0,46.0,35.0,289.0,791.0,22.0,404.0,19.0,231.0,1.0,41.0,620.0,560.0,74.0,100.0,78.0,152.0,138.0,240.0,129.0,98.0,273.0,377.0,497.0,92.0,152.0,148.0,145.0
Male,Never or hardly ever,4241.0,1141.0,2253.0,1963.0,1745.0,1775.0,1297.0,958.0,819.0,718.0,478.0,2544.0,1251.0,1258.0,1317.0,952.0,952.0,1743.0,782.0,6986.0,2583.0,1266.0,1454.0,779.0,106.0,1602.0,8420.0,294.0,1030.0,971.0,377.0,1137.0,983.0,1130.0,1238.0,1366.0,955.0,688.0,6165.0,1252.0,3548.0,986.0,1061.0
Male,Once or twice a month,1256.0,415.0,632.0,610.0,461.0,694.0,237.0,631.0,425.0,536.0,259.0,806.0,334.0,451.0,592.0,532.0,318.0,412.0,300.0,3228.0,374.0,551.0,841.0,391.0,27.0,614.0,2828.0,235.0,447.0,540.0,189.0,379.0,707.0,531.0,413.0,664.0,430.0,725.0,2612.0,400.0,932.0,571.0,345.0
Male,Once or twice a week,913.0,380.0,502.0,369.0,221.0,333.0,164.0,442.0,441.0,756.0,345.0,585.0,220.0,302.0,307.0,391.0,175.0,130.0,297.0,2277.0,97.0,472.0,288.0,355.0,15.0,348.0,2155.0,438.0,333.0,439.0,134.0,295.0,638.0,360.0,254.0,474.0,381.0,710.0,1690.0,242.0,519.0,441.0,283.0
