ST04Q01,IC08Q01,Australia,Austria,Belgium,Chile,China-Shanghai,Chinese Taipei,Costa Rica,Croatia,Czech Republic,Denmark,Estonia,Finland,Germany,Greece,Hong Kong-China,Hungary,Iceland,Ireland,Israel,Italy,Japan,Jordan,Korea,Latvia,Liechtenstein,Macao-China,Mexico,Netherlands,New Zealand,Norway,Perm(Russian Federation),Poland,Portugal,Russian Federation,Serbia,Singapore,Slovak Republic,Slovenia,Spain,Sweden,Switzerland,Turkey,Uruguay
Female,Almost every day,439.0,95.0,232.0,207.0,57.0,194.0,169.0,157.0,122.0,144.0,126.0,373.0,70.0,336.0,148.0,167.0,75.0,99.0,169.0,1368.0,351.0,451.0,55.0,100.0,3.0,181.0,611.0,64.0,111.0,160.0,91.0,152.0,225.0,198.0,330.0,137.0,122.0,168.0,459.0,90.0,162.0,86.0,211.0
Female,Every day,141.0,21.0,122.0,86.0,24.0,113.0,61.0,82.0,51.0,63.0,45.0,93.0,32.0,159.0,55.0,98.0,21.0,42.0,103.0,507.0,157.0,390.0,21.0,53.0,,71.0,254.0,28.0,55.0,94.0,19.0,58.0,81.0,118.0,146.0,39.0,62.0,86.0,173.0,52.0,66.0,51.0,87.0
Female,Never or hardly ever,3613.0,1518.0,2176.0,2002.0,1555.0,1351.0,1280.0,1001.0,1270.0,2245.0,1379.0,1920.0,1404.0,722.0,970.0,957.0,1076.0,1542.0,981.0,7004.0,1479.0,1162.0,1616.0,1294.0,109.0,1182.0,11116.0,1509.0,1062.0,1285.0,414.0,1142.0,1199.0,1289.0,701.0,1448.0,1077.0,1216.0,8069.0,1477.0,3711.0,1221.0,1325.0
Female,Once or twice a month,1474.0,415.0,834.0,610.0,579.0,800.0,380.0,727.0,713.0,540.0,507.0,1135.0,324.0,629.0,576.0,710.0,208.0,502.0,533.0,2857.0,458.0,773.0,392.0,443.0,12.0,678.0,2941.0,270.0,459.0,362.0,202.0,597.0,685.0,607.0,566.0,643.0,597.0,688.0,2234.0,376.0,975.0,544.0,447.0
Female,Once or twice a week,1140.0,247.0,592.0,517.0,413.0,625.0,329.0,483.0,427.0,353.0,308.0,738.0,216.0,677.0,331.0,502.0,196.0,331.0,318.0,2631.0,462.0,629.0,252.0,274.0,11.0,468.0,1754.0,199.0,372.0,284.0,119.0,411.0,594.0,339.0,546.0,455.0,308.0,476.0,1191.0,229.0,518.0,388.0,323.0
Male,Almost every day,1341.0,366.0,627.0,537.0,143.0,340.0,284.0,506.0,552.0,548.0,466.0,894.0,352.0,556.0,345.0,477.0,362.0,326.0,371.0,2491.0,725.0,330.0,280.0,427.0,36.0,419.0,1362.0,637.0,355.0,508.0,230.0,496.0,668.0,606.0,569.0,338.0,502.0,614.0,1492.0,362.0,730.0,298.0,409.0
Male,Every day,783.0,209.0,570.0,299.0,112.0,225.0,178.0,494.0,532.0,529.0,252.0,484.0,204.0,549.0,156.0,484.0,170.0,193.0,300.0,1480.0,426.0,485.0,74.0,290.0,12.0,248.0,770.0,269.0,205.0,338.0,143.0,390.0,531.0,437.0,625.0,165.0,443.0,678.0,819.0,502.0,492.0,248.0,347.0
Male,Never or hardly ever,1615.0,689.0,1165.0,968.0,741.0,778.0,669.0,430.0,362.0,1037.0,476.0,736.0,659.0,403.0,648.0,316.0,430.0,686.0,451.0,4637.0,817.0,1292.0,1023.0,442.0,40.0,605.0,6703.0,406.0,536.0,489.0,176.0,351.0,430.0,525.0,287.0,809.0,464.0,500.0,4306.0,533.0,1959.0,611.0,530.0
Male,Once or twice a month,1151.0,401.0,589.0,573.0,699.0,722.0,330.0,402.0,418.0,429.0,462.0,859.0,324.0,356.0,544.0,302.0,248.0,514.0,383.0,2429.0,387.0,496.0,447.0,383.0,17.0,636.0,3598.0,234.0,375.0,338.0,152.0,337.0,390.0,455.0,235.0,620.0,422.0,507.0,2604.0,303.0,957.0,452.0,333.0
Male,Once or twice a week,2121.0,643.0,837.0,821.0,830.0,831.0,424.0,636.0,644.0,636.0,637.0,1246.0,470.0,592.0,653.0,592.0,384.0,658.0,435.0,3525.0,776.0,410.0,848.0,523.0,48.0,774.0,2871.0,618.0,551.0,572.0,169.0,588.0,745.0,479.0,478.0,807.0,514.0,725.0,2721.0,400.0,1284.0,790.0,465.0
