ST04Q01,IC08Q04,Australia,Austria,Belgium,Chile,China-Shanghai,Chinese Taipei,Costa Rica,Croatia,Czech Republic,Denmark,Estonia,Finland,Germany,Greece,Hong Kong-China,Hungary,Iceland,Ireland,Israel,Italy,Japan,Jordan,Korea,Latvia,Liechtenstein,Macao-China,Mexico,Netherlands,New Zealand,Norway,Perm(Russian Federation),Poland,Portugal,Russian Federation,Serbia,Singapore,Slovak Republic,Slovenia,Spain,Sweden,Switzerland,Turkey,Uruguay
Female,Almost every day,1228.0,564.0,1041.0,703.0,561.0,604.0,415.0,610.0,603.0,914.0,430.0,1129.0,485.0,601.0,451.0,597.0,419.0,416.0,304.0,4082.0,347.0,424.0,325.0,611.0,43.0,650.0,3249.0,627.0,534.0,585.0,197.0,525.0,747.0,546.0,482.0,335.0,481.0,606.0,2876.0,472.0,1252.0,390.0,469.0
Female,Every day,1370.0,665.0,1129.0,866.0,724.0,599.0,396.0,735.0,1084.0,1262.0,1531.0,1319.0,786.0,812.0,361.0,933.0,433.0,463.0,467.0,5112.0,462.0,761.0,202.0,1118.0,34.0,646.0,2967.0,842.0,888.0,903.0,391.0,1126.0,770.0,884.0,692.0,198.0,915.0,760.0,4591.0,460.0,1788.0,298.0,542.0
Female,Never or hardly ever,2545.0,478.0,722.0,901.0,242.0,492.0,758.0,424.0,365.0,444.0,143.0,751.0,403.0,488.0,395.0,311.0,404.0,930.0,848.0,2154.0,1711.0,1422.0,889.0,92.0,18.0,397.0,4523.0,159.0,186.0,319.0,134.0,289.0,373.0,617.0,638.0,1042.0,389.0,571.0,1997.0,605.0,1033.0,709.0,766.0
Female,Once or twice a month,634.0,190.0,395.0,376.0,309.0,457.0,281.0,275.0,222.0,237.0,88.0,479.0,117.0,231.0,417.0,197.0,101.0,322.0,234.0,1081.0,154.0,410.0,424.0,105.0,9.0,368.0,2507.0,117.0,117.0,140.0,57.0,137.0,309.0,238.0,196.0,577.0,154.0,297.0,1127.0,300.0,479.0,348.0,316.0
Female,Once or twice a week,989.0,392.0,647.0,530.0,792.0,931.0,353.0,394.0,310.0,473.0,177.0,577.0,253.0,379.0,455.0,379.0,214.0,378.0,242.0,1880.0,228.0,372.0,489.0,237.0,30.0,504.0,3349.0,325.0,335.0,234.0,66.0,280.0,588.0,269.0,262.0,569.0,206.0,396.0,1498.0,385.0,854.0,534.0,277.0
Male,Almost every day,1498.0,549.0,991.0,680.0,500.0,599.0,349.0,559.0,566.0,893.0,501.0,1184.0,524.0,564.0,575.0,519.0,468.0,414.0,303.0,3757.0,417.0,444.0,369.0,580.0,43.0,679.0,3165.0,626.0,506.0,671.0,197.0,507.0,733.0,459.0,412.0,440.0,532.0,688.0,3018.0,469.0,1256.0,488.0,400.0
Male,Every day,1645.0,713.0,1131.0,913.0,809.0,774.0,367.0,826.0,1092.0,1269.0,1309.0,1145.0,837.0,776.0,542.0,744.0,430.0,435.0,419.0,5135.0,453.0,617.0,247.0,990.0,62.0,901.0,2934.0,796.0,737.0,837.0,369.0,907.0,870.0,937.0,752.0,345.0,891.0,810.0,4019.0,599.0,1731.0,491.0,587.0
Male,Never or hardly ever,2103.0,449.0,673.0,731.0,268.0,479.0,596.0,439.0,380.0,390.0,176.0,769.0,314.0,488.0,451.0,320.0,331.0,921.0,719.0,2450.0,1807.0,1001.0,1162.0,128.0,22.0,389.0,4108.0,211.0,264.0,311.0,179.0,278.0,346.0,638.0,576.0,939.0,428.0,614.0,2075.0,488.0,1077.0,535.0,594.0
Male,Once or twice a month,621.0,216.0,336.0,323.0,248.0,351.0,248.0,240.0,179.0,231.0,106.0,440.0,115.0,246.0,347.0,226.0,115.0,251.0,232.0,1108.0,183.0,445.0,346.0,129.0,11.0,289.0,2195.0,180.0,153.0,124.0,58.0,170.0,270.0,225.0,176.0,455.0,181.0,373.0,1161.0,230.0,525.0,342.0,222.0
Male,Once or twice a week,1098.0,365.0,661.0,536.0,699.0,705.0,324.0,403.0,298.0,402.0,202.0,668.0,227.0,376.0,431.0,360.0,249.0,355.0,252.0,2061.0,270.0,469.0,546.0,239.0,16.0,424.0,2848.0,347.0,362.0,294.0,67.0,289.0,539.0,249.0,264.0,566.0,287.0,525.0,1649.0,337.0,815.0,543.0,255.0
