ST04Q01,ST55Q03,Albania,Argentina,Australia,Austria,Belgium,Brazil,Bulgaria,Canada,Chile,China-Shanghai,Chinese Taipei,Colombia,Connecticut (USA),Costa Rica,Croatia,Czech Republic,Denmark,Estonia,Finland,Florida (USA),France,Germany,Greece,Hong Kong-China,Hungary,Iceland,Indonesia,Ireland,Israel,Italy,Japan,Jordan,Kazakhstan,Korea,Latvia,Liechtenstein,Lithuania,Luxembourg,Macao-China,Malaysia,Massachusetts (USA),Mexico,Montenegro,Netherlands,New Zealand,Norway,Perm(Russian Federation),Peru,Poland,Portugal,Qatar,Romania,Russian Federation,Serbia,Singapore,Slovak Republic,Slovenia,Spain,Sweden,Switzerland,Thailand,Tunisia,Turkey,United Arab Emirates,United Kingdom,United States of America,Uruguay,Vietnam
Female,2 or more but less than 4 hours a week,214.0,144.0,201.0,10.0,222.0,1028.0,97.0,422.0,184.0,409.0,361.0,330.0,35.0,120.0,88.0,214.0,280.0,150.0,467.0,47.0,131.0,67.0,362.0,111.0,44.0,60.0,260.0,59.0,116.0,1238.0,239.0,223.0,377.0,199.0,60.0,4.0,155.0,150.0,122.0,441.0,32.0,1180.0,72.0,100.0,59.0,99.0,88.0,448.0,134.0,207.0,507.0,178.0,234.0,141.0,457.0,65.0,68.0,897.0,148.0,165.0,492.0,375.0,107.0,415.0,400.0,95.0,179.0,410.0
Female,4 or more but less than 6 hours a week,55.0,40.0,92.0,4.0,65.0,296.0,72.0,214.0,85.0,139.0,133.0,202.0,17.0,83.0,10.0,87.0,82.0,50.0,134.0,18.0,30.0,16.0,153.0,44.0,12.0,14.0,104.0,25.0,47.0,423.0,55.0,163.0,146.0,83.0,20.0,,62.0,39.0,54.0,207.0,16.0,932.0,32.0,31.0,56.0,20.0,26.0,223.0,31.0,89.0,351.0,62.0,93.0,35.0,170.0,27.0,15.0,310.0,58.0,41.0,192.0,173.0,56.0,266.0,265.0,56.0,63.0,255.0
Female,6 or more hours a week,31.0,20.0,43.0,2.0,29.0,115.0,138.0,102.0,54.0,74.0,65.0,90.0,14.0,31.0,6.0,31.0,21.0,15.0,26.0,9.0,6.0,6.0,41.0,14.0,10.0,5.0,46.0,3.0,27.0,108.0,9.0,115.0,96.0,10.0,10.0,,25.0,23.0,28.0,92.0,8.0,333.0,17.0,18.0,19.0,5.0,16.0,101.0,7.0,30.0,218.0,21.0,37.0,21.0,59.0,11.0,7.0,108.0,20.0,15.0,205.0,92.0,47.0,232.0,124.0,22.0,26.0,107.0
Female,I do not attend <out-of-school time lessons> in this subject,754.0,1486.0,3840.0,1443.0,2074.0,2986.0,1089.0,5545.0,1724.0,738.0,1153.0,684.0,431.0,1081.0,1347.0,1076.0,1444.0,1120.0,1574.0,463.0,1122.0,1131.0,888.0,1049.0,1477.0,991.0,1011.0,1487.0,1377.0,6587.0,949.0,1505.0,775.0,937.0,1173.0,79.0,1022.0,1303.0,1303.0,508.0,459.0,7143.0,1219.0,1085.0,1145.0,1220.0,280.0,627.0,978.0,1208.0,1732.0,1106.0,906.0,1061.0,800.0,1172.0,1477.0,5958.0,984.0,2932.0,1218.0,427.0,1145.0,2398.0,2660.0,1255.0,1216.0,556.0
Female,Less than 2 hours a week,311.0,274.0,390.0,45.0,311.0,1715.0,278.0,814.0,240.0,406.0,379.0,367.0,63.0,179.0,143.0,352.0,588.0,237.0,652.0,72.0,217.0,132.0,270.0,181.0,125.0,70.0,368.0,106.0,175.0,1619.0,774.0,318.0,502.0,279.0,152.0,8.0,254.0,192.0,242.0,531.0,81.0,1811.0,140.0,114.0,114.0,99.0,159.0,486.0,448.0,242.0,597.0,268.0,430.0,185.0,338.0,146.0,185.0,855.0,316.0,429.0,345.0,433.0,100.0,450.0,656.0,197.0,212.0,392.0
Male,2 or more but less than 4 hours a week,198.0,118.0,210.0,30.0,217.0,935.0,94.0,393.0,207.0,326.0,358.0,320.0,25.0,101.0,74.0,130.0,274.0,132.0,460.0,49.0,113.0,44.0,329.0,178.0,60.0,79.0,219.0,66.0,103.0,1104.0,263.0,338.0,266.0,303.0,77.0,6.0,157.0,133.0,144.0,358.0,35.0,1170.0,69.0,116.0,60.0,114.0,77.0,419.0,103.0,178.0,526.0,145.0,190.0,156.0,380.0,62.0,85.0,861.0,169.0,191.0,364.0,261.0,134.0,504.0,392.0,109.0,187.0,330.0
Male,4 or more but less than 6 hours a week,66.0,38.0,96.0,8.0,71.0,298.0,47.0,184.0,92.0,114.0,148.0,181.0,18.0,73.0,10.0,52.0,64.0,41.0,111.0,21.0,48.0,25.0,144.0,50.0,19.0,16.0,82.0,15.0,51.0,346.0,75.0,193.0,133.0,102.0,17.0,3.0,58.0,42.0,45.0,136.0,21.0,995.0,27.0,27.0,50.0,20.0,26.0,243.0,24.0,73.0,348.0,49.0,59.0,63.0,162.0,34.0,21.0,273.0,62.0,49.0,133.0,135.0,56.0,308.0,294.0,44.0,47.0,184.0
Male,6 or more hours a week,32.0,23.0,48.0,8.0,24.0,142.0,184.0,109.0,77.0,81.0,83.0,79.0,13.0,34.0,7.0,36.0,21.0,26.0,40.0,3.0,14.0,3.0,57.0,38.0,9.0,11.0,61.0,13.0,26.0,135.0,27.0,186.0,115.0,35.0,11.0,,28.0,23.0,52.0,68.0,5.0,382.0,28.0,12.0,28.0,11.0,20.0,97.0,13.0,35.0,325.0,40.0,30.0,37.0,85.0,14.0,22.0,139.0,41.0,21.0,94.0,76.0,60.0,336.0,124.0,35.0,29.0,121.0
Male,I do not attend <out-of-school time lessons> in this subject,758.0,1264.0,3961.0,1412.0,2091.0,2568.0,1100.0,5435.0,1501.0,783.0,1020.0,619.0,434.0,950.0,1444.0,1220.0,1440.0,1110.0,1543.0,454.0,1017.0,1105.0,825.0,1111.0,1268.0,912.0,928.0,1398.0,1047.0,6761.0,951.0,903.0,803.0,1047.0,1097.0,89.0,993.0,1318.0,1290.0,541.0,410.0,6186.0,1158.0,1135.0,1105.0,1252.0,298.0,594.0,974.0,1190.0,1354.0,1110.0,943.0,986.0,859.0,1277.0,1685.0,5877.0,951.0,2977.0,956.0,379.0,1095.0,1835.0,2720.0,1185.0,1007.0,512.0
Male,Less than 2 hours a week,313.0,272.0,371.0,56.0,301.0,1533.0,242.0,675.0,257.0,362.0,297.0,336.0,59.0,124.0,114.0,271.0,558.0,229.0,689.0,79.0,198.0,104.0,250.0,272.0,120.0,70.0,366.0,100.0,163.0,1831.0,816.0,418.0,449.0,266.0,147.0,8.0,251.0,169.0,235.0,492.0,63.0,1707.0,153.0,128.0,120.0,110.0,135.0,469.0,304.0,278.0,691.0,284.0,377.0,184.0,350.0,169.0,194.0,876.0,272.0,432.0,320.0,332.0,136.0,587.0,575.0,228.0,185.0,387.0
