ST04Q01,IC09Q04,Australia,Austria,Belgium,Chile,China-Shanghai,Chinese Taipei,Costa Rica,Croatia,Czech Republic,Denmark,Estonia,Finland,Germany,Greece,Hong Kong-China,Hungary,Iceland,Ireland,Israel,Italy,Japan,Jordan,Korea,Latvia,Liechtenstein,Macao-China,Mexico,Netherlands,New Zealand,Norway,Perm(Russian Federation),Poland,Portugal,Russian Federation,Serbia,Singapore,Slovak Republic,Slovenia,Spain,Sweden,Switzerland,Turkey,Uruguay
Female,Almost every day,424.0,215.0,218.0,366.0,70.0,54.0,177.0,197.0,417.0,343.0,551.0,147.0,85.0,227.0,88.0,155.0,135.0,36.0,274.0,852.0,23.0,243.0,28.0,284.0,5.0,109.0,1775.0,435.0,124.0,140.0,122.0,197.0,322.0,264.0,119.0,189.0,223.0,286.0,800.0,154.0,197.0,89.0,351.0
Female,Every day,175.0,68.0,79.0,177.0,44.0,40.0,104.0,137.0,202.0,163.0,535.0,41.0,44.0,184.0,27.0,74.0,43.0,26.0,216.0,486.0,12.0,228.0,12.0,168.0,1.0,32.0,819.0,219.0,71.0,52.0,67.0,86.0,123.0,196.0,76.0,75.0,135.0,145.0,377.0,77.0,89.0,71.0,215.0
Female,Never or hardly ever,3478.0,1128.0,1807.0,1460.0,1426.0,1410.0,1298.0,1118.0,692.0,1234.0,487.0,2316.0,1300.0,1291.0,781.0,990.0,601.0,1954.0,683.0,7839.0,2546.0,1828.0,1014.0,638.0,95.0,1194.0,7532.0,487.0,956.0,771.0,348.0,957.0,905.0,1177.0,1348.0,902.0,866.0,800.0,5821.0,1104.0,3057.0,1508.0,973.0
Female,Once or twice a month,1588.0,468.0,1053.0,769.0,691.0,1134.0,328.0,594.0,664.0,831.0,386.0,1217.0,407.0,495.0,788.0,794.0,477.0,372.0,520.0,3161.0,241.0,667.0,961.0,605.0,25.0,742.0,3570.0,401.0,521.0,621.0,149.0,703.0,733.0,536.0,465.0,989.0,539.0,786.0,2996.0,540.0,1410.0,405.0,387.0
Female,Once or twice a week,1098.0,399.0,761.0,642.0,395.0,438.0,280.0,397.0,594.0,695.0,399.0,517.0,210.0,303.0,386.0,398.0,291.0,118.0,370.0,1845.0,76.0,427.0,318.0,463.0,9.0,487.0,2889.0,528.0,372.0,575.0,159.0,412.0,692.0,381.0,253.0,558.0,392.0,595.0,1956.0,323.0,622.0,206.0,419.0
Male,Almost every day,493.0,186.0,209.0,299.0,92.0,67.0,167.0,228.0,312.0,342.0,475.0,141.0,123.0,294.0,98.0,162.0,110.0,57.0,225.0,1116.0,33.0,389.0,49.0,316.0,6.0,93.0,1798.0,388.0,117.0,175.0,103.0,241.0,381.0,289.0,144.0,202.0,231.0,413.0,907.0,155.0,267.0,193.0,308.0
Male,Every day,255.0,91.0,181.0,171.0,61.0,57.0,120.0,253.0,247.0,200.0,441.0,81.0,64.0,287.0,43.0,113.0,52.0,51.0,174.0,850.0,28.0,341.0,15.0,195.0,3.0,55.0,966.0,202.0,78.0,75.0,80.0,163.0,215.0,280.0,141.0,110.0,175.0,214.0,513.0,123.0,175.0,138.0,248.0
Male,Never or hardly ever,3299.0,1159.0,1736.0,1347.0,1416.0,1514.0,1033.0,1053.0,811.0,1230.0,508.0,2350.0,1249.0,991.0,915.0,913.0,748.0,1776.0,679.0,7145.0,2713.0,1109.0,1216.0,598.0,96.0,1268.0,6255.0,542.0,953.0,799.0,389.0,830.0,748.0,1126.0,1155.0,983.0,894.0,755.0,5406.0,917.0,3035.0,1159.0,705.0
Male,Once or twice a month,1615.0,492.0,984.0,783.0,592.0,910.0,293.0,507.0,603.0,721.0,418.0,1074.0,349.0,480.0,842.0,566.0,435.0,339.0,456.0,3097.0,244.0,644.0,1012.0,512.0,33.0,760.0,3317.0,494.0,517.0,594.0,153.0,545.0,683.0,475.0,458.0,848.0,599.0,887.0,3007.0,535.0,1310.0,515.0,360.0
Male,Once or twice a week,1307.0,371.0,676.0,605.0,360.0,353.0,258.0,419.0,521.0,635.0,437.0,532.0,214.0,382.0,444.0,410.0,228.0,151.0,374.0,2174.0,104.0,496.0,380.0,443.0,17.0,503.0,2869.0,531.0,349.0,580.0,150.0,371.0,720.0,346.0,285.0,598.0,437.0,730.0,1953.0,376.0,611.0,386.0,420.0
