ST04Q01,IC10Q06,Australia,Austria,Belgium,Chile,China-Shanghai,Chinese Taipei,Costa Rica,Croatia,Czech Republic,Denmark,Estonia,Finland,Germany,Greece,Hong Kong-China,Hungary,Iceland,Ireland,Israel,Italy,Japan,Jordan,Korea,Latvia,Liechtenstein,Macao-China,Mexico,Netherlands,New Zealand,Norway,Perm(Russian Federation),Poland,Portugal,Russian Federation,Serbia,Singapore,Slovak Republic,Slovenia,Spain,Sweden,Switzerland,Turkey,Uruguay
Female,Almost every day,80.0,15.0,32.0,34.0,7.0,15.0,24.0,27.0,42.0,82.0,20.0,22.0,8.0,86.0,14.0,29.0,6.0,10.0,35.0,311.0,14.0,118.0,1.0,28.0,1.0,17.0,381.0,22.0,18.0,33.0,15.0,13.0,20.0,36.0,21.0,9.0,30.0,53.0,258.0,22.0,60.0,30.0,62.0
Female,Every day,42.0,13.0,24.0,19.0,10.0,9.0,16.0,17.0,26.0,41.0,2.0,17.0,6.0,43.0,6.0,24.0,2.0,7.0,40.0,174.0,6.0,127.0,,12.0,,7.0,174.0,33.0,14.0,19.0,12.0,7.0,17.0,30.0,27.0,6.0,22.0,36.0,134.0,22.0,38.0,16.0,40.0
Female,Never or hardly ever,5436.0,2056.0,3508.0,2997.0,2525.0,2778.0,1968.0,1961.0,1977.0,2608.0,2206.0,3754.0,1936.0,1975.0,1898.0,1955.0,1449.0,2188.0,1668.0,9598.0,2706.0,2464.0,2262.0,1964.0,110.0,2291.0,13203.0,1800.0,1756.0,1777.0,763.0,2173.0,2466.0,2279.0,1871.0,2313.0,1815.0,1858.0,9034.0,1837.0,4264.0,2094.0,1776.0
Female,Once or twice a month,765.0,109.0,214.0,250.0,54.0,139.0,93.0,283.0,364.0,339.0,88.0,322.0,71.0,234.0,118.0,218.0,50.0,217.0,201.0,2817.0,102.0,447.0,47.0,117.0,19.0,164.0,1802.0,136.0,187.0,221.0,34.0,109.0,171.0,123.0,199.0,291.0,189.0,402.0,1448.0,208.0,704.0,86.0,264.0
Female,Once or twice a week,357.0,70.0,134.0,97.0,32.0,135.0,64.0,145.0,151.0,152.0,37.0,104.0,28.0,136.0,38.0,170.0,16.0,74.0,94.0,1180.0,58.0,244.0,23.0,40.0,5.0,80.0,960.0,74.0,68.0,89.0,18.0,43.0,96.0,73.0,128.0,92.0,81.0,251.0,913.0,48.0,250.0,56.0,161.0
Male,Almost every day,300.0,90.0,75.0,67.0,24.0,53.0,54.0,72.0,108.0,259.0,67.0,110.0,17.0,180.0,47.0,68.0,22.0,47.0,86.0,643.0,34.0,293.0,11.0,87.0,7.0,32.0,622.0,93.0,64.0,116.0,45.0,68.0,154.0,119.0,83.0,49.0,117.0,208.0,563.0,64.0,142.0,93.0,99.0
Male,Every day,126.0,60.0,82.0,47.0,22.0,49.0,32.0,65.0,100.0,163.0,25.0,75.0,32.0,162.0,30.0,62.0,20.0,28.0,57.0,402.0,42.0,295.0,11.0,45.0,2.0,30.0,319.0,52.0,44.0,84.0,29.0,61.0,93.0,122.0,68.0,21.0,94.0,130.0,284.0,56.0,110.0,80.0,82.0
Male,Never or hardly ever,4493.0,1620.0,3051.0,2452.0,2274.0,2143.0,1524.0,1665.0,1533.0,1762.0,1759.0,2735.0,1649.0,1458.0,1931.0,1460.0,1296.0,1874.0,1337.0,8714.0,2823.0,1475.0,2507.0,1538.0,104.0,2106.0,10586.0,1445.0,1473.0,1340.0,659.0,1604.0,1826.0,1818.0,1595.0,2061.0,1478.0,1525.0,7807.0,1496.0,3684.0,1762.0,1350.0
Male,Once or twice a month,1149.0,292.0,356.0,399.0,113.0,308.0,152.0,352.0,492.0,472.0,251.0,807.0,218.0,360.0,206.0,289.0,154.0,260.0,271.0,2748.0,127.0,501.0,96.0,250.0,25.0,289.0,2200.0,322.0,247.0,386.0,82.0,225.0,361.0,265.0,237.0,433.0,380.0,610.0,1703.0,322.0,960.0,268.0,269.0
Male,Once or twice a week,847.0,218.0,213.0,235.0,86.0,345.0,104.0,304.0,252.0,432.0,171.0,427.0,87.0,248.0,127.0,268.0,64.0,156.0,141.0,1761.0,92.0,412.0,48.0,146.0,14.0,208.0,1406.0,234.0,172.0,293.0,59.0,172.0,302.0,184.0,177.0,177.0,241.0,515.0,1311.0,130.0,455.0,180.0,214.0
