ST04Q01,IC08Q08,Australia,Austria,Belgium,Chile,China-Shanghai,Chinese Taipei,Costa Rica,Croatia,Czech Republic,Denmark,Estonia,Finland,Germany,Greece,Hong Kong-China,Hungary,Iceland,Ireland,Israel,Italy,Japan,Jordan,Korea,Latvia,Liechtenstein,Macao-China,Mexico,Netherlands,New Zealand,Norway,Perm(Russian Federation),Poland,Portugal,Russian Federation,Serbia,Singapore,Slovak Republic,Slovenia,Spain,Sweden,Switzerland,Turkey,Uruguay
Female,Almost every day,1175.0,441.0,596.0,662.0,306.0,442.0,292.0,491.0,791.0,832.0,677.0,988.0,386.0,492.0,347.0,552.0,380.0,357.0,463.0,3881.0,356.0,511.0,265.0,543.0,33.0,473.0,2874.0,332.0,374.0,567.0,213.0,652.0,585.0,637.0,386.0,538.0,531.0,534.0,2336.0,509.0,1129.0,270.0,487.0
Female,Every day,476.0,211.0,325.0,427.0,245.0,253.0,183.0,316.0,500.0,507.0,401.0,496.0,151.0,259.0,134.0,372.0,211.0,165.0,394.0,2184.0,177.0,544.0,67.0,349.0,11.0,239.0,1719.0,127.0,162.0,364.0,154.0,449.0,241.0,510.0,260.0,225.0,341.0,306.0,968.0,255.0,574.0,174.0,401.0
Female,Never or hardly ever,1146.0,389.0,623.0,782.0,616.0,436.0,839.0,363.0,137.0,354.0,100.0,289.0,229.0,338.0,216.0,294.0,135.0,621.0,184.0,1621.0,758.0,970.0,430.0,152.0,19.0,320.0,4814.0,417.0,421.0,165.0,133.0,155.0,509.0,375.0,597.0,377.0,248.0,302.0,1952.0,228.0,572.0,773.0,539.0
Female,Once or twice a month,1562.0,476.0,1013.0,601.0,668.0,832.0,407.0,504.0,332.0,526.0,350.0,953.0,450.0,622.0,555.0,424.0,254.0,674.0,407.0,2282.0,718.0,674.0,788.0,394.0,26.0,621.0,3280.0,509.0,431.0,372.0,131.0,354.0,564.0,439.0,472.0,592.0,410.0,594.0,2814.0,490.0,1139.0,521.0,353.0
Female,Once or twice a week,2417.0,773.0,1373.0,947.0,787.0,1120.0,477.0,766.0,823.0,1095.0,833.0,1528.0,833.0,801.0,827.0,781.0,587.0,690.0,633.0,4309.0,877.0,700.0,785.0,716.0,48.0,916.0,3910.0,683.0,663.0,709.0,206.0,749.0,882.0,585.0,549.0,985.0,619.0,898.0,3991.0,733.0,1992.0,538.0,572.0
Male,Almost every day,1469.0,518.0,689.0,725.0,289.0,414.0,334.0,526.0,763.0,843.0,640.0,1041.0,422.0,530.0,448.0,523.0,432.0,350.0,429.0,3746.0,440.0,393.0,296.0,534.0,41.0,492.0,2998.0,404.0,394.0,604.0,213.0,608.0,638.0,605.0,412.0,576.0,566.0,688.0,2393.0,522.0,1211.0,390.0,433.0
Male,Every day,779.0,325.0,522.0,443.0,296.0,355.0,220.0,507.0,675.0,678.0,482.0,625.0,214.0,397.0,277.0,405.0,283.0,233.0,398.0,2785.0,279.0,547.0,99.0,403.0,27.0,349.0,1887.0,197.0,213.0,505.0,191.0,544.0,454.0,616.0,443.0,411.0,476.0,555.0,1374.0,416.0,877.0,324.0,399.0
Male,Never or hardly ever,1061.0,357.0,608.0,561.0,637.0,543.0,545.0,328.0,165.0,300.0,143.0,345.0,259.0,334.0,255.0,290.0,151.0,515.0,207.0,1800.0,861.0,837.0,589.0,197.0,11.0,442.0,3796.0,386.0,370.0,176.0,150.0,160.0,399.0,375.0,452.0,341.0,278.0,315.0,1972.0,220.0,648.0,558.0,399.0
Male,Once or twice a month,1305.0,418.0,750.0,564.0,566.0,709.0,367.0,425.0,286.0,410.0,293.0,806.0,390.0,488.0,522.0,346.0,231.0,599.0,342.0,2192.0,675.0,591.0,799.0,344.0,23.0,557.0,2889.0,487.0,386.0,305.0,127.0,256.0,435.0,367.0,347.0,491.0,401.0,571.0,2560.0,349.0,1002.0,526.0,305.0
Male,Once or twice a week,2376.0,686.0,1216.0,916.0,732.0,883.0,406.0,675.0,625.0,955.0,732.0,1393.0,729.0,702.0,841.0,605.0,495.0,673.0,549.0,3977.0,851.0,621.0,891.0,583.0,52.0,836.0,3635.0,689.0,653.0,652.0,193.0,590.0,829.0,541.0,518.0,925.0,608.0,884.0,3587.0,619.0,1676.0,602.0,512.0
