ST04Q01,ST55Q02,Albania,Argentina,Australia,Austria,Belgium,Brazil,Bulgaria,Canada,Chile,China-Shanghai,Chinese Taipei,Colombia,Connecticut (USA),Costa Rica,Croatia,Czech Republic,Denmark,Estonia,Finland,Florida (USA),France,Germany,Greece,Hong Kong-China,Hungary,Iceland,Indonesia,Ireland,Israel,Italy,Japan,Jordan,Kazakhstan,Korea,Latvia,Liechtenstein,Lithuania,Luxembourg,Macao-China,Malaysia,Massachusetts (USA),Mexico,Montenegro,Netherlands,New Zealand,Norway,Perm(Russian Federation),Peru,Poland,Portugal,Qatar,Romania,Russian Federation,Serbia,Singapore,Slovak Republic,Slovenia,Spain,Sweden,Switzerland,Thailand,Tunisia,Turkey,United Arab Emirates,United Kingdom,United States of America,Uruguay,Vietnam
Female,2 or more but less than 4 hours a week,287,256,336,103,303,1494,217,558,214,600,504,310,36,264,198,198,418,156,426,52,183,147,446,253,162,115,312,100,336,1939,469,271,526,376,170,5,184,238,249,476,36,1162,168,131,70,124,145,374,147,379,542,270,438,248,549,110,167,1745,182,303,723,449,201,532,497,108,190,536
Female,4 or more but less than 6 hours a week,109,39,127,19,127,705,60,264,133,142,213,223,18,87,38,70,182,104,257,19,67,44,210,63,14,56,105,30,97,835,200,174,240,274,47,3,89,94,97,219,20,1073,48,40,67,43,50,299,36,245,335,76,134,50,224,31,36,569,57,125,211,284,96,299,292,79,105,413
Female,6 or more hours a week,48,19,41,7,40,219,27,123,145,138,97,121,8,36,5,26,35,42,39,13,12,9,46,14,15,19,61,9,61,266,97,127,81,143,11,1,16,24,82,97,12,360,38,9,17,11,20,219,11,60,222,36,51,16,106,9,11,187,16,34,107,157,54,249,70,27,31,238
Female,I do not attend <out-of-school time lessons> in this subject,559,1250,3378,1151,1808,2484,995,5067,1442,456,947,722,411,818,1024,1050,1297,975,1500,421,962,935,761,723,1137,771,959,1269,836,4966,564,1392,521,503,780,68,911,1022,1005,439,444,6734,921,947,1023,1116,142,542,787,782,1581,943,515,818,594,987,1210,4462,925,2419,932,328,999,2063,2255,1145,1142,263
Female,Less than 2 hours a week,372,417,694,238,443,1362,370,1103,360,432,335,421,88,314,348,418,479,296,637,106,288,242,257,351,338,180,377,282,435,2003,697,362,547,220,416,14,323,343,317,556,86,2081,324,230,227,154,213,467,618,362,729,322,588,332,350,294,336,1267,353,707,486,290,139,640,1007,269,248,283
Male,2 or more but less than 4 hours a week,309,190,314,83,300,1380,194,487,180,442,459,276,25,149,200,130,323,133,448,69,172,93,403,285,107,106,238,92,236,1692,427,318,414,499,139,10,197,148,191,356,32,1163,131,150,76,140,146,356,127,345,530,271,401,246,523,115,128,1467,183,256,518,343,215,581,501,121,163,441
Male,4 or more but less than 6 hours a week,104,38,149,28,147,704,64,239,154,145,204,207,17,84,52,65,179,116,267,18,80,20,187,67,26,53,93,31,87,792,192,184,190,243,45,4,78,118,101,149,24,1098,54,46,69,66,62,291,42,220,357,79,127,91,215,49,38,487,62,169,125,198,93,325,288,46,102,291
Male,6 or more hours a week,44,27,69,13,26,221,41,120,174,115,129,128,11,49,13,19,64,31,26,5,13,7,75,37,14,28,56,22,65,263,99,194,100,211,26,1,18,32,95,82,3,421,41,6,20,13,16,249,14,60,321,39,60,33,122,23,20,178,44,53,81,123,52,374,88,38,35,221
Male,I do not attend <out-of-school time lessons> in this subject,557,1081,3502,1211,1867,2152,1018,5056,1306,545,828,632,414,787,1130,1140,1325,988,1503,420,915,984,711,900,1063,751,918,1227,702,5386,694,850,602,606,780,77,881,1134,1090,512,395,5878,958,1043,1010,1167,174,516,796,849,1243,959,521,792,595,1108,1517,4820,903,2611,725,258,994,1602,2435,1120,945,309
Male,Less than 2 hours a week,370,392,681,184,385,1097,344,910,329,421,288,372,82,221,287,353,456,269,601,95,215,207,237,364,270,153,359,231,319,2085,720,497,486,204,380,13,307,266,296,507,85,1885,281,173,197,133,174,418,443,334,824,292,544,287,389,262,312,1170,306,615,421,274,152,713,810,272,230,282
