ST04Q01,IC10Q04,Australia,Austria,Belgium,Chile,China-Shanghai,Chinese Taipei,Costa Rica,Croatia,Czech Republic,Denmark,Estonia,Finland,Germany,Greece,Hong Kong-China,Hungary,Iceland,Ireland,Israel,Italy,Japan,Jordan,Korea,Latvia,Liechtenstein,Macao-China,Mexico,Netherlands,New Zealand,Norway,Perm(Russian Federation),Poland,Portugal,Russian Federation,Serbia,Singapore,Slovak Republic,Slovenia,Spain,Sweden,Switzerland,Turkey,Uruguay
Female,Almost every day,618.0,76.0,75.0,129.0,12.0,42.0,75.0,59.0,128.0,402.0,36.0,53.0,10.0,120.0,35.0,40.0,21.0,19.0,96.0,325.0,14.0,132.0,11.0,53.0,1.0,38.0,895.0,153.0,112.0,169.0,37.0,34.0,97.0,81.0,50.0,75.0,77.0,69.0,554.0,96.0,111.0,61.0,181.0
Female,Every day,250.0,27.0,25.0,66.0,14.0,27.0,48.0,37.0,91.0,180.0,10.0,17.0,11.0,92.0,10.0,26.0,5.0,17.0,70.0,189.0,13.0,148.0,3.0,21.0,,15.0,434.0,70.0,51.0,46.0,19.0,15.0,43.0,51.0,31.0,38.0,42.0,42.0,243.0,61.0,52.0,39.0,107.0
Female,Never or hardly ever,3532.0,1620.0,2520.0,2212.0,2225.0,1795.0,1661.0,1963.0,1497.0,1321.0,1828.0,3201.0,1755.0,1713.0,1074.0,1723.0,1177.0,2157.0,1322.0,10547.0,2713.0,2197.0,1978.0,1565.0,103.0,1636.0,10638.0,918.0,1278.0,881.0,626.0,1918.0,1998.0,1936.0,1800.0,1911.0,1477.0,1746.0,7475.0,1502.0,3638.0,1777.0,1478.0
Female,Once or twice a month,1176.0,335.0,766.0,569.0,249.0,625.0,204.0,228.0,464.0,634.0,290.0,698.0,188.0,303.0,663.0,364.0,245.0,219.0,350.0,1928.0,87.0,546.0,243.0,369.0,19.0,437.0,2494.0,449.0,338.0,565.0,105.0,246.0,364.0,308.0,212.0,470.0,341.0,423.0,1907.0,301.0,1078.0,272.0,318.0
Female,Once or twice a week,1155.0,220.0,537.0,406.0,128.0,584.0,178.0,148.0,379.0,711.0,187.0,251.0,82.0,261.0,289.0,251.0,82.0,85.0,209.0,1134.0,60.0,370.0,98.0,152.0,11.0,434.0,2075.0,474.0,262.0,489.0,56.0,134.0,266.0,168.0,151.0,220.0,213.0,333.0,1681.0,208.0,480.0,135.0,242.0
Male,Almost every day,668.0,105.0,109.0,164.0,18.0,58.0,95.0,106.0,210.0,409.0,90.0,100.0,41.0,221.0,56.0,76.0,26.0,32.0,127.0,634.0,12.0,307.0,19.0,108.0,6.0,50.0,1052.0,204.0,96.0,196.0,40.0,78.0,178.0,126.0,93.0,78.0,106.0,234.0,759.0,136.0,186.0,121.0,161.0
Male,Every day,261.0,50.0,84.0,81.0,19.0,44.0,58.0,100.0,169.0,215.0,28.0,54.0,26.0,174.0,22.0,55.0,23.0,25.0,66.0,428.0,15.0,317.0,11.0,40.0,4.0,37.0,548.0,65.0,53.0,72.0,35.0,63.0,103.0,135.0,71.0,46.0,83.0,118.0,377.0,116.0,117.0,81.0,140.0
Male,Never or hardly ever,3553.0,1450.0,2297.0,1958.0,2150.0,1804.0,1318.0,1705.0,1301.0,1242.0,1553.0,2690.0,1578.0,1368.0,1375.0,1357.0,1210.0,1975.0,1151.0,9715.0,2943.0,1365.0,2258.0,1310.0,96.0,1692.0,8964.0,929.0,1287.0,864.0,635.0,1543.0,1623.0,1697.0,1526.0,1879.0,1346.0,1437.0,6901.0,1193.0,3471.0,1524.0,1161.0
Male,Once or twice a month,1234.0,373.0,708.0,591.0,186.0,452.0,216.0,315.0,424.0,574.0,378.0,816.0,235.0,353.0,567.0,358.0,197.0,210.0,332.0,2040.0,82.0,537.0,247.0,376.0,22.0,426.0,2524.0,449.0,309.0,509.0,92.0,267.0,445.0,314.0,267.0,472.0,443.0,677.0,1971.0,390.0,1055.0,374.0,308.0
Male,Once or twice a week,1232.0,304.0,581.0,401.0,147.0,534.0,177.0,238.0,383.0,660.0,224.0,496.0,115.0,310.0,322.0,302.0,103.0,123.0,219.0,1495.0,63.0,439.0,137.0,236.0,23.0,463.0,2049.0,510.0,266.0,585.0,73.0,187.0,382.0,234.0,214.0,264.0,349.0,526.0,1698.0,241.0,552.0,282.0,260.0
