ST04Q01,IC09Q06,Australia,Austria,Belgium,Chile,China-Shanghai,Chinese Taipei,Costa Rica,Croatia,Czech Republic,Denmark,Estonia,Finland,Germany,Greece,Hong Kong-China,Hungary,Iceland,Ireland,Israel,Italy,Japan,Jordan,Korea,Latvia,Liechtenstein,Macao-China,Mexico,Netherlands,New Zealand,Norway,Perm(Russian Federation),Poland,Portugal,Russian Federation,Serbia,Singapore,Slovak Republic,Slovenia,Spain,Sweden,Switzerland,Turkey,Uruguay
Female,Almost every day,2009.0,363.0,444.0,808.0,65.0,98.0,540.0,193.0,332.0,1080.0,406.0,89.0,140.0,194.0,217.0,240.0,124.0,164.0,189.0,1376.0,15.0,358.0,124.0,312.0,12.0,334.0,4984.0,444.0,500.0,542.0,190.0,470.0,347.0,383.0,155.0,241.0,259.0,258.0,988.0,319.0,388.0,418.0,711.0
Female,Every day,1230.0,115.0,138.0,419.0,26.0,51.0,283.0,75.0,116.0,644.0,170.0,16.0,45.0,92.0,98.0,108.0,32.0,58.0,109.0,597.0,9.0,273.0,33.0,160.0,4.0,154.0,2995.0,134.0,296.0,325.0,78.0,247.0,95.0,233.0,79.0,137.0,96.0,90.0,322.0,141.0,110.0,243.0,453.0
Female,Never or hardly ever,484.0,464.0,766.0,297.0,1705.0,691.0,329.0,881.0,506.0,108.0,240.0,2251.0,510.0,1245.0,270.0,520.0,297.0,807.0,646.0,5610.0,2690.0,1115.0,468.0,347.0,21.0,295.0,1181.0,262.0,167.0,154.0,171.0,389.0,867.0,712.0,1116.0,574.0,526.0,774.0,4950.0,414.0,1660.0,314.0,309.0
Female,Once or twice a month,810.0,570.0,1234.0,683.0,514.0,1425.0,385.0,736.0,827.0,407.0,739.0,1421.0,777.0,540.0,729.0,825.0,561.0,842.0,641.0,3494.0,130.0,953.0,1063.0,637.0,54.0,826.0,2481.0,434.0,324.0,402.0,162.0,552.0,695.0,618.0,547.0,1029.0,643.0,823.0,2999.0,615.0,1857.0,607.0,326.0
Female,Once or twice a week,2223.0,775.0,1328.0,1196.0,315.0,811.0,645.0,557.0,787.0,1017.0,804.0,470.0,582.0,428.0,754.0,721.0,531.0,630.0,475.0,3111.0,58.0,695.0,644.0,709.0,44.0,957.0,4920.0,792.0,755.0,736.0,241.0,696.0,774.0,611.0,372.0,733.0,629.0,668.0,2681.0,703.0,1361.0,710.0,550.0
Male,Almost every day,1782.0,328.0,383.0,752.0,77.0,87.0,415.0,173.0,309.0,979.0,347.0,117.0,144.0,262.0,245.0,247.0,147.0,158.0,196.0,1625.0,23.0,410.0,122.0,334.0,12.0,321.0,4291.0,354.0,424.0,521.0,151.0,398.0,351.0,376.0,189.0,251.0,231.0,378.0,1124.0,312.0,431.0,413.0,554.0
Male,Every day,943.0,105.0,200.0,390.0,54.0,62.0,319.0,132.0,153.0,572.0,178.0,49.0,59.0,216.0,104.0,119.0,59.0,62.0,132.0,920.0,12.0,364.0,50.0,153.0,4.0,183.0,2700.0,114.0,206.0,303.0,90.0,257.0,168.0,286.0,139.0,151.0,137.0,221.0,496.0,180.0,191.0,299.0,374.0
Male,Never or hardly ever,929.0,646.0,847.0,331.0,1703.0,989.0,276.0,942.0,603.0,182.0,344.0,2303.0,583.0,1012.0,396.0,562.0,404.0,1026.0,629.0,5532.0,2834.0,976.0,730.0,397.0,31.0,459.0,1556.0,371.0,283.0,288.0,219.0,373.0,801.0,777.0,968.0,615.0,648.0,835.0,4535.0,457.0,1903.0,394.0,304.0
Male,Once or twice a month,973.0,608.0,1184.0,623.0,398.0,1158.0,333.0,689.0,741.0,401.0,664.0,1252.0,693.0,533.0,810.0,637.0,536.0,657.0,552.0,3245.0,177.0,676.0,1091.0,550.0,61.0,874.0,2407.0,493.0,386.0,368.0,184.0,490.0,684.0,523.0,499.0,939.0,748.0,819.0,3038.0,520.0,1644.0,536.0,314.0
Male,Once or twice a week,2333.0,602.0,1166.0,1106.0,292.0,607.0,522.0,529.0,686.0,990.0,749.0,468.0,527.0,406.0,788.0,602.0,428.0,469.0,406.0,3058.0,75.0,571.0,679.0,629.0,47.0,845.0,4233.0,824.0,717.0,740.0,229.0,634.0,744.0,552.0,387.0,782.0,570.0,748.0,2587.0,634.0,1231.0,745.0,503.0
