ST04Q01,ST55Q04,Albania,Argentina,Australia,Austria,Belgium,Brazil,Bulgaria,Canada,Chile,China-Shanghai,Chinese Taipei,Colombia,Connecticut (USA),Costa Rica,Croatia,Czech Republic,Denmark,Estonia,Finland,Florida (USA),France,Germany,Greece,Hong Kong-China,Hungary,Iceland,Indonesia,Ireland,Israel,Italy,Japan,Jordan,Kazakhstan,Korea,Latvia,Liechtenstein,Lithuania,Luxembourg,Macao-China,Malaysia,Massachusetts (USA),Mexico,Montenegro,Netherlands,New Zealand,Norway,Perm(Russian Federation),Peru,Poland,Portugal,Qatar,Romania,Russian Federation,Serbia,Singapore,Slovak Republic,Slovenia,Spain,Sweden,Switzerland,Thailand,Tunisia,Turkey,United Arab Emirates,United Kingdom,United States of America,Uruguay,Vietnam
Female,2 or more but less than 4 hours a week,185.0,226.0,404.0,65.0,273.0,1257.0,240.0,543.0,179.0,376.0,503.0,148.0,44.0,128.0,96.0,281.0,409.0,226.0,538.0,50.0,145.0,120.0,311.0,190.0,148.0,98.0,213.0,108.0,207.0,1843.0,431.0,232.0,442.0,363.0,267.0,9.0,171.0,176.0,228.0,472.0,47.0,1192.0,106.0,109.0,107.0,92.0,89.0,429.0,317.0,365.0,452.0,243.0,268.0,178.0,349.0,152.0,107.0,1784.0,200.0,314.0,352.0,344.0,128.0,388.0,635.0,122.0,217.0,398.0
Female,4 or more but less than 6 hours a week,87.0,71.0,180.0,17.0,89.0,461.0,93.0,307.0,74.0,110.0,201.0,160.0,28.0,60.0,24.0,78.0,163.0,91.0,255.0,37.0,58.0,30.0,161.0,41.0,40.0,46.0,82.0,36.0,76.0,914.0,181.0,104.0,212.0,219.0,79.0,2.0,90.0,68.0,77.0,174.0,26.0,727.0,44.0,47.0,80.0,51.0,23.0,185.0,110.0,102.0,268.0,96.0,106.0,63.0,137.0,47.0,39.0,391.0,109.0,85.0,109.0,192.0,56.0,246.0,308.0,77.0,92.0,144.0
Female,6 or more hours a week,51.0,44.0,116.0,6.0,60.0,301.0,77.0,206.0,65.0,67.0,107.0,151.0,22.0,50.0,13.0,51.0,80.0,46.0,212.0,26.0,27.0,17.0,99.0,20.0,18.0,21.0,64.0,27.0,45.0,470.0,79.0,98.0,167.0,122.0,59.0,,73.0,40.0,86.0,98.0,20.0,434.0,36.0,33.0,62.0,22.0,25.0,160.0,65.0,42.0,168.0,48.0,62.0,45.0,55.0,24.0,14.0,192.0,45.0,70.0,66.0,138.0,41.0,154.0,214.0,78.0,56.0,50.0
Female,I do not attend <out-of-school time lessons> in this subject,696.0,1252.0,3280.0,1232.0,1925.0,2374.0,939.0,4991.0,1653.0,732.0,901.0,598.0,397.0,1024.0,1327.0,902.0,1271.0,929.0,1196.0,402.0,1039.0,970.0,907.0,833.0,1204.0,859.0,1036.0,1259.0,1024.0,5073.0,560.0,1516.0,528.0,506.0,646.0,65.0,865.0,1120.0,1040.0,449.0,407.0,6939.0,1133.0,1002.0,985.0,1176.0,230.0,594.0,576.0,893.0,1818.0,903.0,787.0,971.0,915.0,968.0,1367.0,4473.0,819.0,2475.0,1429.0,374.0,1085.0,2328.0,2058.0,1084.0,1086.0,598.0
Female,Less than 2 hours a week,326.0,369.0,544.0,192.0,341.0,1714.0,316.0,1003.0,287.0,480.0,361.0,207.0,68.0,189.0,133.0,450.0,447.0,274.0,645.0,97.0,208.0,222.0,208.0,318.0,254.0,113.0,384.0,243.0,393.0,1640.0,771.0,359.0,549.0,318.0,366.0,15.0,300.0,297.0,315.0,579.0,94.0,1873.0,173.0,152.0,157.0,106.0,199.0,519.0,533.0,319.0,652.0,350.0,467.0,207.0,361.0,234.0,216.0,1264.0,353.0,617.0,447.0,435.0,124.0,644.0,872.0,261.0,219.0,537.0
Male,2 or more but less than 4 hours a week,187.0,182.0,313.0,62.0,250.0,1003.0,192.0,477.0,184.0,321.0,419.0,124.0,42.0,131.0,124.0,169.0,331.0,177.0,497.0,51.0,148.0,92.0,220.0,203.0,98.0,103.0,166.0,91.0,192.0,1583.0,373.0,275.0,338.0,464.0,186.0,6.0,172.0,152.0,203.0,339.0,38.0,1118.0,99.0,123.0,93.0,102.0,87.0,363.0,260.0,280.0,426.0,188.0,228.0,183.0,375.0,136.0,80.0,1611.0,198.0,314.0,238.0,266.0,126.0,456.0,543.0,115.0,187.0,274.0
Male,4 or more but less than 6 hours a week,88.0,72.0,168.0,17.0,86.0,419.0,93.0,280.0,99.0,89.0,134.0,134.0,18.0,63.0,34.0,54.0,143.0,86.0,217.0,30.0,48.0,22.0,137.0,51.0,28.0,53.0,73.0,30.0,73.0,692.0,132.0,194.0,189.0,211.0,64.0,,77.0,75.0,79.0,137.0,24.0,774.0,52.0,39.0,69.0,46.0,25.0,161.0,72.0,94.0,315.0,84.0,98.0,76.0,128.0,40.0,50.0,351.0,97.0,97.0,70.0,121.0,48.0,270.0,289.0,60.0,98.0,112.0
Male,6 or more hours a week,71.0,49.0,178.0,15.0,102.0,381.0,94.0,276.0,88.0,71.0,126.0,147.0,21.0,46.0,24.0,71.0,116.0,52.0,233.0,34.0,48.0,25.0,84.0,37.0,23.0,37.0,72.0,40.0,61.0,413.0,116.0,210.0,178.0,123.0,68.0,2.0,108.0,47.0,106.0,89.0,21.0,578.0,41.0,45.0,60.0,42.0,26.0,182.0,97.0,71.0,303.0,76.0,62.0,82.0,73.0,53.0,48.0,218.0,89.0,116.0,75.0,130.0,76.0,296.0,295.0,98.0,52.0,61.0
Male,I do not attend <out-of-school time lessons> in this subject,720.0,1094.0,3492.0,1253.0,1898.0,2145.0,1015.0,4938.0,1454.0,745.0,854.0,519.0,392.0,873.0,1323.0,1061.0,1293.0,992.0,1244.0,413.0,955.0,949.0,927.0,954.0,1107.0,790.0,946.0,1240.0,797.0,5427.0,706.0,913.0,638.0,659.0,724.0,83.0,817.0,1149.0,1007.0,472.0,377.0,6023.0,1067.0,1051.0,975.0,1201.0,272.0,567.0,645.0,988.0,1452.0,960.0,789.0,894.0,858.0,1115.0,1546.0,4645.0,824.0,2558.0,1072.0,327.0,1059.0,1863.0,2150.0,1072.0,915.0,582.0
Male,Less than 2 hours a week,304.0,318.0,514.0,167.0,373.0,1515.0,256.0,817.0,291.0,441.0,351.0,221.0,73.0,152.0,153.0,359.0,452.0,233.0,648.0,75.0,189.0,220.0,218.0,402.0,220.0,104.0,393.0,192.0,277.0,2040.0,801.0,444.0,449.0,322.0,324.0,15.0,293.0,264.0,382.0,555.0,74.0,1835.0,182.0,157.0,162.0,113.0,149.0,532.0,349.0,296.0,749.0,329.0,443.0,195.0,392.0,224.0,274.0,1223.0,292.0,599.0,357.0,338.0,172.0,697.0,815.0,251.0,191.0,516.0
